순번	영상ID	제목	길이	상태
130	mdW5snbfKho	'3년 전 가격으로 팝니다' 강남 아파트에 무슨 일이? (언더스탠딩 장순원 기자)	18분	
131	NrUc5yeolg0	아파트 공급 부족 생각보다 훨씬 심각합니다 (분전아카데미 김건우 대표)	65분	
132	W7tGZ9vVdDQ	PF 대출 이제는 정말 터뜨린다? feat. 정부 PF 정상화 대책 (언더스탠딩 김상훈 기자)	40분	
133	DfspZXY2NFI	고무줄 베란다 확장 공사 비용, 정부는 왜 눈감아줄까? (언더스탠딩 장순원 기자)	27분	
134	oaBQde5PAgI	태영건설 워크아웃인데, 주인은 그대로? (언더스탠딩 김상훈 기자)	39분	
135	RPdAK5L9MNQ	임대주택 낀 아파트 단지, 큰일 났습니다 (언더스탠딩 장순원 기자)	27분	
136	wqG8NrKNxBo	총선 이후 부동산, 이렇게 움직입니다 (채상욱 채부심 대표)	47분	
137	064ezU5BlKc	엉망이 된 GTX 삼성역, 정부가 수천 억 물어줘야 합니다 (언더스탠딩 장순원 기자)	32분	
138	Sh7xqQzUnwY	망해 버린 신도시 재건축, 수학공식으로 설명해보겠습니다 (건국대 부동산대학원 이용각 겸임교수)	63분	
139	3HpC79wd8kA	집값은 결국 다시 오른다? 데이터로 반박해 보겠습니다 (라이프자산운용 배문성 이사)	70분	
140	Wv6O8HhW4U4	거들떠보지 않던 중층아파트, 몸값이 달라질겁니다 (언더스탠딩 장순원 기자)	27분	
141	zdVpY6YyMAQ	이번엔 나랏돈으로 건설사 PF 구하기? (언더스탠딩 김상훈 기자)	32분	
142	X9ZhEWYpLEQ	"책임준공" PF보다 더 끔찍한 단어가 될 겁니다 (언더스탠딩 장순원 기자)	21분	
143	LGc4TuF2wJ4	민간 재건축 시대, 이제 끝났습니다 (채상욱 채부심 대표)	44분	
144	lSjGaEqGA70	태영건설 상장폐지? 진짜 문제는 이겁니다 (언더스탠딩 김상훈 기자)	29분	
145	ByJbyizJq_c	국세청 때문에 부동산 리츠는 난리 났습니다 (언더스탠딩 장순원 기자)	29분	
146	_tWfBQPqxsI	전세사기범이 빌라에 폭탄을 숨겨놓은 이유 (한국일보 김동욱 기자)	33분	
147	373sD5-Hvi4	돈 되는 재개발 아니었나? 강남도 올스톱 (언더스탠딩 장순원 기자)	19분	
148	Gbw-QzfH-qc	재건축도 아니고 리모델링인데 이 공사비 실화입니까?! (언더스탠딩 장순원 기자)	22분	
149	bU1XoKYCZKY	성과급 눈먼 공기업이 3기 신도시를 죽였다? (언더스탠딩 장순원 기자)	29분	
150	1Hz5r5qTxGE	역대급 분양대금 횡령 사건, 진범은 따로 있습니다 (박휘영 변호사 / 법무법인 휘명)	57분	
151	sjzKSzVGVUA	뉴욕 세입자 보호법이 은행을 망치는 이유 (언더스탠딩 장순원 기자)	18분	
152	7F4pth2nKWE	요즘 아파트들은 왜 다 49층으로만 지을까 (언더스탠딩 장순원 기자)	18분	
153	gs8_ivGemwk	내가 낸 분양대금이 줄줄이 새고 있다? (언더스탠딩 김상훈 기자)	36분	
154	cJd5NHc96vQ	인구는 줄어드는데 아파트 더 지어야 합니까? (국토교통부 진현환 차관)	82분	
155	x6rFQARq7jY	호텔 주인이 호텔에 사는 게 합법일까 불법일까 (언더스탠딩 장순원 기자)	28분	
156	CNwuAfiP3mc	은행은 왜 망해간다던 롯데건설을 살려줬나 (언더스탠딩 김상훈 기자)	26분	
157	5ZhtUBS562g	100층 용산의 꿈, PF가 발목 잡나 (언더스탠딩 김상훈 기자)	15분	
158	l8SiOkEgfXM	건설사는 빚을 이렇게 숨깁니다 (언더스탠딩 장순원 기자)	16분	
159	QISG8CSsjUo	청량리 아파트가 높이 솟아오른 진짜 이유 (언더스탠딩 장순원 기자)	27분	
160	aQrokjPUAJM	재건축 규제 풀면 "이런 아파트"만 좋아집니다 (채부심 채상욱 대표)	36분	
161	HCP8tB0Tvn0	둔촌주공보다 머리 아픈 바로 그 재건축 아파트 (언더스탠딩 장순원 기자)	21분	
162	Zu9-rj59GPo	집주인과 세입자의 계약갱신권 소송, 사례별로 정리해드립니다 (최광석 로티스 대표변호사)	62분	
163	k4dQKrjoPb0	양자역학보다 어려운 1기 신도시 재건축(그렇다고 안된다는 건 아닙니다) (분전아카데미 김건우 대표)	73분	
164	Den9rPd-gB0	지금 대출 갈아타는 게 돈 버는 겁니다 (언더스탠딩 장순원 기자)	12분	
165	jeSvqq1BxiU	태영건설 다음은 롯데? 어디까지 번지나 (언더스탠딩 김상훈 기자)	42분	
166	J8sNeNbp9c4	북아현동 재개발 왜 논란일까? (언더스탠딩 장순원 기자)	18분	
167	t9_fIixJets	태영건설은 왜 자꾸 돈을 다른 곳으로 보낼까 (언더스탠딩 김상훈 기자)	41분	
